model,embed_dim,window_size,num_neg,final_loss,train_time
cbow,50,2,5,4.1588826179504395,0.88913893699646
skipgram,50,2,5,4.158882607354058,0.7745730876922607
cbow,50,2,10,7.624618975321452,0.42950987815856934
skipgram,50,2,10,7.6246185514662,1.3062708377838135
cbow,50,2,15,11.090354855855306,0.4718632698059082
skipgram,50,2,15,11.090353563096787,1.4567699432373047
cbow,50,5,5,4.1588826179504395,0.316392183303833
skipgram,50,5,5,4.158882494722859,1.5366389751434326
cbow,50,5,10,7.624618943532308,0.46846914291381836
skipgram,50,5,10,7.624618519557996,2.774000883102417
cbow,50,5,15,11.0903564453125,0.5376229286193848
skipgram,50,5,15,11.090353387125422,2.8372349739074707
cbow,50,10,5,4.1588826179504395,0.2936971187591553
skipgram,50,10,5,4.158882311832758,2.81311297416687
cbow,50,10,10,7.624618975321452,0.6556339263916016
skipgram,50,10,10,7.624618533216877,4.866177797317505
cbow,50,10,15,11.090356826782227,0.5825068950653076
skipgram,50,10,15,11.090353723005816,6.29181694984436
cbow,100,2,5,4.1588826179504395,0.38016796112060547
skipgram,100,2,5,4.1588826179504395,1.2884221076965332
cbow,100,2,10,7.624619007110596,0.5078802108764648
skipgram,100,2,10,7.624618627808311,1.3900752067565918
cbow,100,2,15,11.0903564453125,0.5681250095367432
skipgram,100,2,15,11.090353266398113,1.5581960678100586
cbow,100,5,5,4.1588826179504395,0.40829896926879883
skipgram,100,5,5,4.1588826179504395,2.258242130279541
cbow,100,5,10,7.624618943532308,0.4655642509460449
skipgram,100,5,10,7.624618535631158,2.5894057750701904
cbow,100,5,15,11.090356826782227,0.7143990993499756
skipgram,100,5,15,11.090353462133514,3.174531936645508
cbow,100,10,5,4.1588826179504395,0.5536470413208008
skipgram,100,10,5,4.158882606248914,4.288944959640503
cbow,100,10,10,7.624618975321452,0.5871119499206543
skipgram,100,10,10,7.6246185302734375,4.936800003051758
cbow,100,10,15,11.090356826782227,0.6251280307769775
skipgram,100,10,15,11.09035367730223,5.751027822494507
cbow,200,2,5,4.1588826179504395,0.4760441780090332
skipgram,200,2,5,4.158882628546821,1.3547391891479492
cbow,200,2,10,7.624619007110596,0.5962228775024414
skipgram,200,2,10,7.624618996514214,1.58880615234375
cbow,200,2,15,11.090356826782227,0.678887128829956
skipgram,200,2,15,11.090354940626357,1.9668958187103271
cbow,200,5,5,4.1588826179504395,0.52400803565979
skipgram,200,5,5,4.158882612652249,2.759464979171753
cbow,200,5,10,7.624618943532308,0.607867956161499
skipgram,200,5,10,7.624618749939994,3.247443199157715
cbow,200,5,15,11.090356826782227,0.7507960796356201
skipgram,200,5,15,11.090354908837213,3.876617193222046
cbow,200,10,5,4.1588826179504395,0.6408610343933105
skipgram,200,10,5,4.158882620857983,5.0592241287231445
cbow,200,10,10,7.624618975321452,0.6764731407165527
skipgram,200,10,10,7.624618542120324,6.258508205413818
cbow,200,10,15,11.090356826782227,0.8387069702148438
skipgram,200,10,15,11.090354708806137,7.3648481369018555
